Age,Gender,Origin,HighSchool_GPA,Admission_Score,First_Semester_Grade,Socioeconomic_Level,Scholarship,Loan,Dropout
18.0,Male,Rural,87.66,68.64,45.51,Medium,No,No,No
26.0,Female,Rural,63.62,75.63,97.91,Medium,No,No,No
25.0,Male,Rural,94.87,70.65,69.3,High,No,No,No
26.0,Female,,76.33,53.46,49.04,,No,Yes,Yes
21.0,Female,Rural,90.04,71.86,60.54,Low,Yes,Yes,Yes
18.0,Male,Urban,98.95,54.87,64.8,,No,No,No
20.0,Male,Urban,91.99,70.25,85.49,High,No,Yes,No
28.0,Female,Rural,93.35,79.65,84.61,High,No,Yes,Yes
28.0,Female,Urban,70.4,78.97,76.72,Medium,No,,No
23.0,,Urban,77.59,83.13,46.36,High,Yes,Yes,
28.0,Male,Urban,62.69,54.76,49.09,Low,No,,
29.0,Female,Rural,59.81,82.61,45.63,Medium,Yes,No,Yes
24.0,Female,Rural,75.28,65.61,74.63,Low,No,Yes,No
19.0,Female,Urban,79.75,69.95,92.63,Medium,Yes,Yes,No
17.0,Male,Rural,66.96,92.9,66.03,High,Yes,No,Yes
20.0,Female,Urban,78.47,50.45,49.65,Medium,Yes,No,No
18.0,Female,Urban,94.37,79.42,73.48,Medium,Yes,Yes,Yes
24.0,Male,Urban,77.84,,88.71,Low,,No,Yes
20.0,Female,Urban,120.0,69.83,84.5,Low,No,No,Yes
18.0,Female,Rural,90.27,61.85,92.89,Medium,No,No,Yes
22.0,Male,Rural,99.44,61.73,56.67,High,No,Yes,
,Female,Rural,80.16,94.19,51.64,High,Yes,No,Yes
26.0,,Urban,90.34,72.1,92.79,Low,No,Yes,Yes
20.0,,Rural,98.13,66.54,79.45,High,Yes,No,No
22.0,Female,Urban,97.22,72.44,58.66,Low,Yes,Yes,Yes
29.0,Female,Rural,57.05,83.47,84.54,High,No,No,Yes
18.0,Female,Urban,70.32,57.29,88.91,Medium,No,Yes,No
26.0,Female,Urban,66.2,72.47,76.9,Low,Yes,Yes,No
28.0,,Urban,54.35,79.39,81.27,Low,,Yes,No
18.0,Female,Rural,81.66,97.43,62.52,Medium,No,No,Yes
26.0,Male,Rural,86.8,62.63,72.32,Low,No,,No
20.0,Female,Rural,92.41,67.96,71.45,High,No,No,No
24.0,Female,Rural,56.14,68.97,90.88,High,No,Yes,
23.0,Female,Urban,93.82,80.28,90.4,Low,Yes,No,Yes
28.0,Male,Rural,82.15,67.84,89.96,High,No,Yes,Yes
25.0,Female,Rural,85.2,76.68,40.66,Low,No,No,Yes
24.0,Female,Urban,95.53,89.09,,Medium,No,Yes,Yes
21.0,Female,Urban,81.24,85.27,85.52,Low,Yes,Yes,No
29.0,Female,Urban,66.79,72.32,80.7,Medium,Yes,Yes,No
18.0,,Rural,91.26,93.21,85.38,High,Yes,No,No
21.0,Female,Urban,68.15,77.91,90.52,Medium,Yes,No,Yes
24.0,Male,Urban,51.71,77.0,68.22,High,No,No,Yes
26.0,Male,Urban,91.53,51.71,70.12,Low,Yes,Yes,Yes
25.0,Male,Rural,67.26,99.33,47.48,High,No,Yes,No
28.0,Male,Urban,88.69,56.15,63.12,Low,No,No,No
28.0,Male,Rural,68.14,61.56,78.6,Low,No,No,Yes
28.0,,Rural,93.05,,86.82,,No,No,No
,Female,Urban,60.98,82.0,53.03,Medium,Yes,Yes,Yes
25.0,Male,Urban,98.73,61.24,48.27,Medium,Yes,Yes,No
29.0,Male,Rural,88.99,59.0,79.78,Medium,Yes,Yes,No
29.0,Male,Urban,55.71,54.43,40.11,High,,Yes,No
17.0,,Urban,78.29,55.17,50.7,High,No,Yes,Yes
25.0,Female,Rural,99.27,79.23,41.74,High,No,No,No
23.0,Male,Rural,73.55,84.41,50.01,Low,,Yes,No
25.0,Female,Urban,59.11,69.87,50.88,High,No,Yes,Yes
24.0,Male,Rural,74.24,,63.26,High,Yes,Yes,No
17.0,Male,Urban,75.62,84.3,64.14,High,No,Yes,
28.0,Female,Urban,87.08,50.87,92.46,Medium,Yes,Yes,Yes
24.0,Male,Urban,84.94,66.16,70.61,High,No,No,Yes
24.0,,Rural,70.13,98.65,83.4,Low,No,Yes,Yes
27.0,Female,Urban,60.9,79.01,46.25,Medium,Yes,Yes,Yes
19.0,Male,Urban,82.25,62.71,53.53,,Yes,Yes,No
17.0,Male,Urban,71.09,76.09,82.18,High,No,No,Yes
24.0,Female,Rural,56.61,67.13,43.17,Medium,No,No,Yes
19.0,Male,Rural,95.03,76.61,69.2,Low,No,No,Yes
19.0,Male,Rural,84.56,56.29,75.96,High,No,Yes,
,Male,Rural,84.16,56.64,76.13,Low,Yes,No,No
27.0,Female,Rural,,57.18,41.38,Low,No,Yes,Yes
21.0,Female,,76.48,96.99,59.33,Low,Yes,Yes,No
26.0,Male,Rural,90.75,86.64,78.19,High,No,No,Yes
23.0,Female,Rural,74.9,58.12,48.94,High,Yes,Yes,No
26.0,Female,Rural,53.36,59.42,81.72,Low,Yes,Yes,Yes
25.0,Female,Urban,70.26,86.54,84.76,Medium,No,Yes,Yes
28.0,Female,Rural,74.87,57.81,98.92,Medium,Yes,No,No
23.0,Female,Rural,86.01,61.73,52.59,High,No,Yes,Yes
25.0,Male,Urban,55.33,98.17,89.51,High,Yes,Yes,No
24.0,Male,Rural,57.0,62.77,71.22,High,No,No,Yes
28.0,Male,Urban,63.18,83.08,62.41,High,Yes,Yes,No
18.0,Female,Urban,63.32,,,High,No,Yes,Yes
17.0,Female,Urban,86.61,68.71,,Medium,No,No,Yes
23.0,Male,Urban,62.54,50.88,54.15,High,Yes,Yes,No
23.0,Female,Urban,81.65,62.21,,Low,Yes,Yes,Yes
24.0,Male,Rural,74.71,91.54,,Low,Yes,Yes,Yes
21.0,Male,Urban,78.66,93.23,88.08,Medium,Yes,Yes,Yes
19.0,Male,Urban,91.91,88.43,86.0,Low,No,Yes,Yes
28.0,Female,Rural,70.22,55.66,84.02,Medium,Yes,No,Yes
24.0,Female,Urban,88.55,89.78,57.97,Medium,No,No,Yes
22.0,Male,Rural,71.1,95.93,50.41,Low,Yes,No,No
27.0,Male,Rural,67.69,80.03,78.25,High,No,No,No
,Male,Rural,,97.04,69.77,Low,No,Yes,No
17.0,Male,Urban,59.22,91.34,50.7,Low,No,Yes,Yes
19.0,Female,Urban,54.52,83.35,81.15,Medium,No,Yes,No
21.0,Female,Urban,,78.86,99.47,Low,Yes,Yes,Yes
,Male,Rural,53.41,67.43,84.83,,Yes,Yes,Yes
17.0,Male,Urban,91.85,57.96,84.4,High,No,No,Yes
21.0,,Urban,120.0,80.25,0.0,High,Yes,No,Yes
26.0,Female,Urban,95.78,65.91,52.18,High,Yes,Yes,No
23.0,Male,Rural,86.08,93.32,73.93,Low,,Yes,Yes
23.0,Male,Rural,80.52,99.67,98.78,Medium,Yes,Yes,No
27.0,Male,Urban,97.47,87.62,,High,,No,Yes
25.0,Female,Urban,69.83,54.52,82.02,,Yes,Yes,No
,Female,Urban,97.7,64.43,75.15,Medium,No,Yes,
26.0,Female,,56.75,55.46,75.19,High,Yes,Yes,No
,Male,Rural,74.19,82.53,81.86,High,No,No,No
29.0,Male,Rural,63.5,88.26,95.78,Medium,Yes,Yes,
19.0,Female,Rural,76.99,96.28,,High,Yes,No,No
,Female,Rural,58.1,71.91,,Medium,,No,Yes
17.0,Male,Urban,92.08,95.07,91.16,Medium,No,No,No
20.0,Female,Urban,92.32,93.89,53.53,High,No,No,Yes
29.0,Female,Urban,97.76,65.86,62.61,Low,Yes,No,No
20.0,Male,Rural,57.73,93.45,67.7,High,No,No,Yes
21.0,Female,Urban,81.17,68.78,68.85,Low,Yes,Yes,
23.0,Male,Rural,73.71,64.84,66.11,Medium,No,Yes,No
23.0,Male,Rural,67.22,82.45,96.24,Medium,No,Yes,Yes
29.0,,Urban,67.58,66.42,82.36,Low,Yes,No,No
27.0,Male,Urban,70.64,81.51,77.87,Medium,Yes,Yes,No
29.0,Male,Urban,85.25,80.49,42.99,Low,Yes,No,No
20.0,Male,,79.91,78.17,94.23,Low,Yes,No,Yes
29.0,Male,Urban,72.98,69.02,,Medium,No,No,No
,Female,Rural,53.8,77.42,86.81,Low,No,Yes,Yes
27.0,Male,Urban,53.89,79.82,40.42,High,No,No,No
19.0,Male,Rural,120.0,77.28,43.44,High,Yes,No,No
22.0,Female,Rural,98.38,72.22,53.51,Medium,Yes,Yes,Yes
28.0,Female,Urban,50.26,50.73,47.88,Medium,No,Yes,No
18.0,Female,Rural,55.15,79.35,63.93,Low,Yes,,No
26.0,Male,Rural,65.73,58.42,95.36,Low,No,No,Yes
29.0,Female,Urban,90.37,82.13,68.32,Low,No,Yes,No
25.0,Male,Rural,98.1,87.97,40.8,Low,No,,Yes
21.0,Male,Urban,89.5,75.02,56.96,High,No,Yes,Yes
22.0,Male,Rural,84.53,77.12,42.68,High,No,No,Yes
28.0,Male,Urban,76.07,97.57,42.18,Medium,Yes,Yes,No
28.0,Female,Urban,54.34,92.36,56.54,Low,Yes,Yes,Yes
28.0,Female,Rural,97.91,,56.54,Low,Yes,Yes,Yes
28.0,Male,,87.92,90.69,87.23,Medium,No,No,No
20.0,Male,Rural,81.95,55.45,98.49,Low,No,Yes,Yes
27.0,Male,Rural,87.95,57.45,62.27,Low,No,Yes,No
26.0,Female,Rural,,76.33,65.73,Low,No,Yes,No
,Male,Urban,81.86,62.3,90.69,,Yes,Yes,No
28.0,Male,Rural,99.03,73.83,56.09,Low,,Yes,No
25.0,Female,Urban,95.17,,49.38,Medium,No,No,Yes
,Female,Urban,82.33,77.47,91.19,Low,No,No,Yes
17.0,,Rural,84.66,87.34,42.79,Medium,,No,Yes
17.0,Female,Urban,52.58,85.77,77.18,Low,Yes,Yes,Yes
25.0,Female,Urban,83.5,76.06,,High,,No,Yes
27.0,Male,Urban,,91.12,60.76,High,Yes,No,No
25.0,Female,Urban,,71.54,58.91,High,No,No,Yes
20.0,Male,Rural,99.97,94.84,86.31,High,No,Yes,Yes
29.0,Female,Urban,77.79,53.56,45.19,Medium,Yes,Yes,Yes
25.0,Male,Rural,73.66,97.73,54.21,,No,No,No
19.0,,Rural,65.64,82.73,83.95,Low,Yes,No,
23.0,Male,Urban,56.03,69.0,72.9,High,No,,Yes
22.0,Female,Rural,86.55,59.86,47.68,Medium,Yes,Yes,
24.0,Male,Rural,59.63,73.96,92.93,Low,No,No,Yes
27.0,Female,Rural,55.76,59.73,63.61,Low,Yes,Yes,Yes
25.0,Male,Urban,,58.32,89.67,Medium,Yes,No,No
21.0,Male,Rural,89.77,80.87,87.26,High,Yes,Yes,No
17.0,Female,Rural,87.25,76.15,77.47,Low,Yes,No,Yes
19.0,Male,Rural,52.74,83.5,69.67,High,Yes,,Yes
26.0,Male,Urban,72.76,96.48,98.77,High,Yes,Yes,No
28.0,Female,Rural,76.12,76.61,48.7,High,No,No,Yes
24.0,Male,Urban,82.23,79.05,83.51,Low,No,No,No
27.0,Male,Urban,82.51,54.48,51.47,High,,No,Yes
22.0,Male,Urban,68.23,85.88,60.3,Low,Yes,Yes,No
24.0,Male,Urban,78.03,70.0,58.52,High,Yes,Yes,Yes
25.0,Female,,74.05,98.84,96.82,Low,No,Yes,Yes
20.0,Female,Urban,94.25,91.16,98.04,High,Yes,No,No
17.0,Male,Rural,76.51,76.12,50.98,Medium,Yes,Yes,
17.0,Female,Urban,72.05,56.16,41.32,High,Yes,No,Yes
26.0,Male,Rural,70.22,92.97,83.2,High,Yes,No,No
20.0,Female,Rural,78.62,89.99,65.08,Low,Yes,Yes,Yes
28.0,Male,Urban,90.2,59.23,45.33,Low,,Yes,Yes
23.0,Male,Rural,76.92,64.76,81.03,,No,No,Yes
18.0,Male,Rural,83.08,89.67,72.71,Medium,No,No,No
19.0,Male,Rural,86.89,59.26,98.83,Medium,No,Yes,No
17.0,Male,Rural,76.01,95.89,53.64,Low,No,Yes,No
21.0,Male,Urban,71.34,71.23,64.24,Medium,Yes,Yes,Yes
17.0,Female,,93.83,54.35,72.55,High,Yes,No,Yes
24.0,Male,Urban,70.88,90.79,87.5,Low,Yes,No,Yes
17.0,,Rural,73.1,68.68,72.93,High,Yes,No,Yes
27.0,Male,,99.52,76.32,76.77,Low,No,No,No
17.0,Female,Urban,50.01,55.62,,Low,No,No,Yes
18.0,Female,Rural,,50.13,90.82,Low,No,Yes,Yes
18.0,Female,Rural,69.2,81.9,65.72,Low,Yes,Yes,Yes
28.0,Male,Rural,96.63,75.76,48.46,Medium,No,No,No
22.0,Male,,53.5,79.68,79.85,High,Yes,No,Yes
23.0,Female,Rural,,89.69,52.97,High,No,Yes,Yes
21.0,Male,Urban,52.63,82.33,45.85,,No,,Yes
17.0,Female,Rural,54.43,58.74,91.72,Low,Yes,Yes,Yes
17.0,Male,Urban,51.88,68.04,67.61,,Yes,Yes,Yes
19.0,Female,Urban,73.99,95.29,84.96,High,No,No,No
,Female,Rural,79.04,88.5,57.44,Medium,No,Yes,Yes
21.0,Male,Rural,63.58,77.83,87.22,Low,Yes,No,Yes
28.0,Female,Urban,69.91,62.78,46.72,High,No,Yes,Yes
26.0,Male,Urban,54.58,65.1,61.36,Medium,No,Yes,Yes
22.0,Female,Rural,,86.6,0.0,Low,Yes,Yes,
23.0,Female,Urban,76.13,92.56,87.64,Medium,No,No,Yes
20.0,Male,Rural,86.61,83.57,69.84,High,Yes,No,Yes
23.0,Male,Rural,50.17,90.48,60.39,High,No,Yes,Yes
27.0,Male,Rural,73.37,88.33,92.33,Low,Yes,No,
24.0,Female,Rural,64.85,57.49,72.69,Low,No,No,Yes
27.0,Male,Urban,92.64,71.2,85.51,Low,Yes,Yes,No
17.0,Female,Rural,85.78,57.65,85.25,Medium,No,Yes,No
22.0,Female,Urban,79.46,,41.08,Medium,Yes,No,No
24.0,Male,Rural,63.86,93.46,47.58,Medium,No,No,No
21.0,Male,Urban,,73.64,79.58,Low,No,No,Yes
20.0,Female,Rural,52.26,76.77,49.7,High,,Yes,No
18.0,Female,Urban,,58.92,55.33,High,No,Yes,No
22.0,Male,Urban,69.58,65.61,96.8,Medium,No,No,Yes
22.0,Male,,56.22,61.51,73.61,Medium,No,Yes,No
27.0,Male,Rural,97.82,60.31,85.04,High,No,Yes,No
17.0,Male,Rural,89.9,81.9,73.48,High,No,No,Yes
25.0,Male,Rural,62.95,62.84,73.15,Medium,No,No,Yes
28.0,Female,Urban,79.43,81.6,,Medium,Yes,Yes,Yes
27.0,Female,,99.12,52.92,60.62,High,Yes,Yes,No
,Female,Urban,94.21,57.09,56.95,Low,No,No,No
29.0,Female,Urban,80.04,63.73,63.44,Medium,Yes,Yes,Yes
19.0,Male,,95.19,79.85,87.9,High,No,Yes,
20.0,Male,Urban,99.46,83.79,62.32,High,No,No,No
28.0,Male,Urban,87.17,72.14,67.1,High,Yes,No,Yes
27.0,Female,Urban,120.0,72.29,63.84,High,No,Yes,No
20.0,Female,Urban,70.08,86.23,45.6,Low,No,Yes,Yes
19.0,Male,Rural,91.89,50.79,66.46,High,Yes,Yes,Yes
26.0,Male,Rural,61.53,67.05,51.74,Medium,Yes,No,No
19.0,Female,Rural,91.53,90.94,51.2,Low,No,Yes,Yes
19.0,,Rural,56.02,80.16,45.64,High,Yes,Yes,Yes
20.0,Male,Urban,52.35,66.86,61.4,Low,Yes,No,Yes
23.0,Male,,69.2,95.28,85.45,Medium,No,No,No
,Female,Rural,51.84,88.63,56.59,High,Yes,Yes,Yes
25.0,Male,Rural,97.86,63.24,58.74,Medium,Yes,No,Yes
17.0,Male,Rural,91.31,82.26,78.56,High,No,No,Yes
24.0,Male,Urban,90.04,79.79,51.75,,Yes,Yes,Yes
23.0,Female,Rural,81.49,70.06,93.82,High,Yes,No,Yes
18.0,Female,Rural,60.82,68.35,71.21,High,No,No,Yes
24.0,Female,Rural,120.0,67.18,66.86,High,No,Yes,No
17.0,Female,Urban,,80.86,73.47,,,No,No
27.0,Female,Urban,76.25,72.12,49.96,High,Yes,Yes,Yes
28.0,Female,Urban,63.01,91.59,76.81,,No,Yes,No
25.0,Female,Urban,75.76,,0.0,Low,No,No,No
25.0,Male,Urban,74.56,53.5,93.83,Low,Yes,No,Yes
18.0,Male,Urban,99.82,82.01,50.13,Low,No,No,No
23.0,Male,Urban,94.87,63.56,70.42,Low,No,Yes,No
26.0,Male,Urban,73.17,79.64,75.89,Low,No,No,No
19.0,Male,,81.15,84.01,42.0,Low,No,Yes,
23.0,Male,Rural,87.39,61.54,61.82,High,Yes,No,No
28.0,Male,Urban,51.74,72.84,0.0,High,No,No,No
26.0,Female,Urban,94.75,59.52,89.22,,No,,No
25.0,Female,Rural,93.01,52.62,58.79,High,Yes,Yes,No
20.0,Male,Urban,72.87,68.92,87.92,High,No,No,Yes
28.0,Male,Urban,69.56,68.15,98.07,Low,Yes,No,Yes
17.0,Female,Urban,63.65,99.77,91.41,,,Yes,No
18.0,Male,Rural,73.83,72.32,47.06,High,Yes,Yes,No
17.0,Male,Rural,52.22,66.68,84.38,Medium,No,No,Yes
28.0,Female,Rural,,79.02,59.18,Low,,No,No
21.0,Male,Rural,51.77,54.44,99.3,High,Yes,No,No
21.0,Female,Rural,120.0,98.08,69.12,,Yes,Yes,Yes
27.0,Male,Urban,96.58,81.75,47.35,Medium,No,Yes,Yes
23.0,Female,Rural,86.76,87.74,83.51,Medium,No,Yes,Yes
25.0,Female,Urban,64.07,58.52,59.38,Low,No,Yes,No
25.0,Female,Urban,62.63,70.47,99.82,Medium,No,No,No
19.0,Male,Rural,50.25,71.13,98.79,High,No,Yes,Yes
19.0,,Rural,84.79,91.09,79.37,,No,Yes,Yes
19.0,Male,Urban,52.44,50.06,47.79,Medium,No,Yes,No
20.0,Male,Urban,76.63,65.04,81.21,Medium,Yes,No,Yes
24.0,Male,Urban,98.11,99.06,45.58,Medium,Yes,No,No
22.0,Male,Rural,55.47,73.74,41.76,Medium,Yes,Yes,
24.0,Female,Rural,94.72,69.13,89.38,Low,Yes,Yes,Yes
17.0,Female,,99.57,55.99,52.59,Medium,No,No,Yes
24.0,Male,Rural,53.08,98.71,62.74,Low,Yes,No,No
20.0,Male,Rural,94.15,51.0,98.41,High,Yes,No,Yes
27.0,Female,Urban,75.8,86.86,60.21,Medium,Yes,No,Yes
17.0,Male,Rural,95.33,88.43,57.79,Low,Yes,No,Yes
24.0,Female,Urban,78.57,62.18,95.09,Medium,No,No,Yes
20.0,Male,Urban,83.11,83.58,46.64,High,No,No,No
22.0,Male,Urban,77.19,54.65,85.57,High,No,No,No
24.0,Female,Rural,93.22,62.85,99.28,High,Yes,Yes,No
20.0,,Rural,86.7,89.4,94.08,Medium,No,Yes,No
19.0,Female,Rural,76.06,93.23,79.1,Medium,Yes,Yes,Yes
,Male,Urban,93.41,80.42,58.84,Low,,Yes,Yes
19.0,Male,Urban,62.26,75.34,55.26,High,No,Yes,No
25.0,Male,Urban,57.87,57.97,89.16,Medium,No,Yes,No
29.0,Female,Urban,58.02,53.16,92.79,High,No,No,Yes
18.0,Male,Urban,66.7,55.88,71.53,High,No,No,No
18.0,Male,Urban,61.93,61.37,54.66,Low,Yes,Yes,No
18.0,Male,Rural,96.5,,46.78,Low,No,Yes,Yes
22.0,Male,Rural,55.29,,45.23,Low,Yes,No,No
19.0,Female,Rural,84.95,67.32,83.14,Low,Yes,,Yes
29.0,Female,Rural,59.46,61.95,65.21,High,Yes,No,Yes
25.0,Male,Urban,94.08,75.49,94.32,Low,Yes,Yes,No
20.0,Female,Urban,98.07,91.26,84.38,Low,Yes,No,Yes
17.0,Male,Rural,73.27,63.99,51.48,Low,No,Yes,No
20.0,Male,Urban,93.95,97.12,76.83,Low,No,Yes,Yes
,Male,Rural,50.26,93.67,66.13,High,No,No,No
21.0,Female,Rural,91.0,58.09,74.63,Low,,No,No
20.0,Female,Rural,61.43,89.31,84.28,High,Yes,Yes,No
24.0,Female,Urban,95.44,78.73,88.37,Medium,No,No,Yes
24.0,Female,Rural,50.06,,90.62,High,No,No,Yes
23.0,Female,Rural,,69.55,55.24,High,Yes,Yes,No
19.0,,Rural,87.83,75.06,41.87,Low,Yes,No,Yes
17.0,Female,Urban,62.93,69.86,84.36,Medium,No,,No
17.0,Female,Urban,,76.99,46.38,Medium,No,Yes,No
28.0,Female,Rural,54.2,81.4,58.9,Medium,Yes,No,Yes
27.0,Male,Urban,66.32,,40.23,Medium,No,Yes,No
19.0,Female,Urban,77.99,76.62,80.9,High,No,Yes,
22.0,Female,Urban,55.79,86.07,50.03,,No,No,No
23.0,Female,Urban,68.83,57.06,79.32,High,No,No,Yes
22.0,Female,Urban,50.45,60.6,99.5,High,Yes,No,No
22.0,Female,Urban,90.93,90.94,,High,Yes,Yes,No
22.0,Female,Urban,56.42,66.13,44.62,Medium,Yes,,Yes
29.0,Female,Urban,64.17,51.14,60.42,Low,No,No,No
19.0,Female,Urban,50.92,57.69,91.98,Low,No,Yes,No
22.0,Female,Urban,71.61,61.18,52.93,Medium,No,No,Yes
24.0,Female,Rural,92.01,97.87,61.62,Low,No,No,No
27.0,Female,Rural,69.61,,44.11,Low,No,Yes,Yes
27.0,Male,Urban,58.97,96.64,85.79,High,Yes,No,No
18.0,Male,Rural,87.68,,64.5,High,No,Yes,Yes
21.0,Female,Rural,89.44,,85.55,Medium,No,Yes,
17.0,Female,Urban,,65.69,94.22,Medium,Yes,No,No
28.0,Male,Urban,88.54,80.32,,Low,No,Yes,No
17.0,Female,Urban,97.36,56.96,88.44,High,Yes,No,Yes
21.0,Male,Rural,58.32,94.91,43.55,,Yes,Yes,Yes
28.0,Male,Rural,88.55,91.47,93.93,Medium,Yes,Yes,Yes
29.0,Male,Urban,85.43,65.88,79.05,Medium,Yes,Yes,Yes
19.0,Male,Urban,73.68,97.64,92.45,Medium,Yes,No,No
20.0,Male,Urban,52.9,91.26,40.01,Medium,No,Yes,
19.0,Female,Rural,53.73,83.32,50.14,Medium,Yes,No,Yes
17.0,Male,Rural,92.62,56.09,63.39,Low,Yes,Yes,Yes
17.0,Female,Rural,99.51,73.91,62.77,High,No,Yes,Yes
28.0,Female,Rural,83.8,75.31,53.6,High,No,No,No
28.0,Male,,72.3,61.63,62.9,Medium,Yes,No,Yes
,Male,Urban,82.38,54.0,0.0,High,No,No,Yes
21.0,Female,Urban,79.72,88.84,64.77,High,No,No,No
22.0,Male,Urban,,56.1,88.14,High,Yes,No,No
19.0,Male,Rural,53.28,79.71,,,Yes,Yes,Yes
28.0,Female,Rural,91.08,96.82,41.08,Medium,No,Yes,No
25.0,Female,Urban,68.59,93.81,65.29,High,Yes,No,Yes
21.0,Male,Urban,90.94,63.89,41.63,High,Yes,,No
24.0,Female,Rural,62.63,92.57,,Medium,No,Yes,Yes
29.0,Male,Urban,50.05,50.02,47.65,Low,Yes,Yes,Yes
17.0,Male,Rural,57.95,,82.46,High,Yes,No,Yes
21.0,Male,Urban,73.43,80.13,98.37,Low,Yes,,Yes
19.0,Female,Urban,97.22,68.24,89.56,High,,Yes,No
28.0,Female,Urban,55.11,69.32,,Low,Yes,Yes,No
17.0,Female,Urban,92.71,78.22,90.37,Low,No,No,No
20.0,Female,Urban,76.35,,98.91,Low,No,Yes,No
29.0,Female,Urban,91.3,60.59,0.0,Medium,Yes,Yes,Yes
21.0,Male,Urban,64.92,74.23,73.55,Low,No,No,Yes
23.0,Male,Rural,92.0,87.71,77.69,Low,Yes,No,No
17.0,Male,Rural,88.64,80.97,71.96,Low,Yes,Yes,No
19.0,Male,Rural,61.5,64.87,,High,Yes,Yes,No
18.0,Female,Rural,56.57,71.52,66.99,Low,Yes,No,No
25.0,,Rural,93.4,,53.11,High,Yes,No,No
,Female,Urban,98.16,,47.21,Low,No,No,Yes
22.0,Male,Urban,51.57,89.13,44.1,Low,No,No,Yes
26.0,,Rural,86.56,63.27,55.8,Medium,Yes,No,Yes
